brand_id	name	domain	missing_role	available_role	original_cohort
mcdonalds	McDonald's	mcdonalds.com	logo	icon	icon
jd-com	JD.com	jd.com	logo	icon	icon
zara	Zara	zara.com	icon	logo	logo
bp	bp	bp.com	logo	icon	icon
ge	GE	ge.com	logo	icon	icon
fedex	FedEx	fedex.com	icon	logo	logo
x	X	x.com	logo	icon	icon
snapchat	Snapchat	snapchat.com	logo	icon	icon
dell	Dell	dell.com	icon	logo	empty
hp	HP	hp.com	logo	icon	icon
bose	Bose	bose.com	icon	logo	logo
gopro	GoPro	gopro.com	icon	logo	empty
palo-alto-networks	Palo Alto Networks	paloaltonetworks.com	icon	logo	logo
costco	Costco	costco.com	icon	logo	empty
carrefour	Carrefour	carrefour.com	logo	icon	empty
lowe-s	Lowe's	lowes.com	icon	logo	logo
home-depot	The Home Depot	homedepot.com	logo	icon	icon
best-buy	Best Buy	bestbuy.com	icon	logo	empty
aldi	Aldi	aldi.com	logo	icon	empty
puma	Puma	puma.com	logo	icon	icon
lululemon	Lululemon	lululemon.com	logo	icon	empty
patagonia	Patagonia	patagonia.com	icon	logo	logo
levi-s	Levi's	levis.com	logo	icon	icon
the-north-face	The North Face	thenorthface.com	logo	icon	empty
ray-ban	Ray-Ban	ray-ban.com	icon	logo	logo
warby-parker	Warby Parker	warbyparker.com	logo	icon	icon
este-e-lauder	Estée Lauder	elcompanies.com	icon	logo	logo
danone	Danone	danone.com	logo	icon	icon
kraft-heinz	Kraft Heinz	kraftheinzcompany.com	icon	logo	empty
mondelez-international	Mondelez International	mondelezinternational.com	icon	logo	logo
mars	Mars	mars.com	icon	logo	logo
heineken	Heineken	heineken.com	icon	logo	logo
diageo	Diageo	diageo.com	icon	logo	logo
subway	Subway	subway.com	icon	logo	logo
domino-s	Domino's	dominos.com	logo	icon	icon
chipotle	Chipotle	chipotle.com	logo	icon	icon
yum-brands	Yum! Brands	yum.com	icon	logo	empty
hilton	Hilton	hilton.com	logo	icon	icon
marriott	Marriott	marriott.com	icon	logo	empty
expedia	Expedia	expedia.com	logo	icon	icon
lyft	Lyft	lyft.com	icon	logo	empty
delta-air-lines	Delta Air Lines	delta.com	logo	icon	icon
united-airlines	United Airlines	united.com	icon	logo	empty
emirates	Emirates	emirates.com	icon	logo	empty
singapore-airlines	Singapore Airlines	singaporeair.com	icon	logo	empty
totalenergies	TotalEnergies	totalenergies.com	icon	logo	logo
abb	ABB	abb.com	icon	logo	empty
schneider-electric	Schneider Electric	se.com	icon	logo	empty
3m	3M	3m.com	icon	logo	empty
caterpillar	Caterpillar	cat.com	icon	logo	logo
bank-of-america	Bank of America	bankofamerica.com	icon	logo	empty
ubs	UBS	ubs.com	logo	icon	icon
axa	AXA	axa.com	logo	icon	icon
berkshire-hathaway	Berkshire Hathaway	berkshirehathaway.com	icon	logo	empty
johnson-johnson	Johnson & Johnson	jnj.com	icon	logo	logo
the-new-york-times	The New York Times	nytimes.com	logo	icon	empty
bbc	BBC	bbc.com	icon	logo	empty
reuters	Reuters	reuters.com	logo	icon	empty
vimeo	Vimeo	vimeo.com	logo	icon	icon
epic-games	Epic Games	epicgames.com	logo	icon	icon
kakao	Kakao	kakaocorp.com	logo	icon	icon
safran	Safran	safran-group.com	logo	icon	icon
lufthansa	Lufthansa	lufthansa.com	icon	logo	empty
zalando	Zalando	zalando.com	logo	icon	icon
alibaba-group	Alibaba Group	alibabagroup.com	icon	logo	empty
naver	Naver	navercorp.com	logo	icon	icon
mitsubishi-motors	Mitsubishi Motors	mitsubishi-motors.com	logo	icon	icon
tata	Tata	tata.com	logo	icon	icon
infosys	Infosys	infosys.com	icon	logo	logo
mercado-libre	Mercado Libre	mercadolibre.com	logo	icon	icon
rappi	Rappi	rappi.com	icon	logo	empty
safaricom	Safaricom	safaricom.co.ke	logo	icon	icon
orange	Orange	orange.com	logo	icon	icon
deutsche-telekom	Deutsche Telekom	telekom.com	logo	icon	icon
verizon	Verizon	verizon.com	icon	logo	empty
comcast	Comcast	corporate.comcast.com	icon	logo	logo
hasbro	Hasbro	hasbro.com	logo	icon	icon
fisher-price	Fisher-Price	fisher-price.com	icon	logo	logo
gartner	Gartner	gartner.com	logo	icon	icon
mckinsey-company	McKinsey & Company	mckinsey.com	icon	logo	empty
kpmg	KPMG	kpmg.com	icon	logo	logo
pwc	PwC	pwc.com	icon	logo	empty
snap	Snap	snap.com	icon	logo	logo
autodesk	Autodesk	autodesk.com	logo	icon	icon
palantir	Palantir	palantir.com	icon	logo	empty
